TableName,Key,Text
ConspiracyTheoryTalk_en,No101/Lv2/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No101/Lv2/1/TEXT,"Do artificial earthquakes really exist, yun?"
ConspiracyTheoryTalk_en,No101/Lv2/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No101/Lv2/2/TEXT,There used to be internet jokes about certain universities doing nuclear experiments underground.
ConspiracyTheoryTalk_en,No101/Lv3/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No101/Lv3/1/TEXT,"If the news is true, then Q-chan's conspiracy theories just made the world a little more peaceful, yun!"
ConspiracyTheoryTalk_en,No101/Lv3/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No101/Lv3/2/TEXT,I'd be happy if it means fewer anime slots getting cancelled for breaking news.
ConspiracyTheoryTalk_en,No16/Lv1/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No16/Lv1/1/TEXT,I don't care what their reasons are. All scalpers should be executed.
ConspiracyTheoryTalk_en,No16/Lv1/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No16/Lv1/2/TEXT,"Q-chan, you're starting to sound like an execution angel, yun!"
ConspiracyTheoryTalk_en,No16/Lv2/1/NAME,【Q-chan】
ConspiracyTheoryTalk_en,No16/Lv2/1/TEXT,How many times have those bastards screwed me over...!!
ConspiracyTheoryTalk_en,No16/Lv2/2/NAME,【Yunyun】
ConspiracyTheoryTalk_en,No16/Lv2/2/TEXT,"An otaku's grudge is terrifying, yun."
ConspiracyTheoryTalk_en,No16/Lv3/1/NAME,【Yunyun】
ConspiracyTheoryTalk_en,No16/Lv3/1/TEXT,"Looks like the anti-scalper people are joining the 'bad guys' just to crush the scalpers, yun."
ConspiracyTheoryTalk_en,No16/Lv3/2/NAME,【Q-chan】
ConspiracyTheoryTalk_en,No16/Lv3/2/TEXT,There are definitely hopeless people out there who'll use any means necessary.
ConspiracyTheoryTalk_en,No25/Lv1/1/NAME,【Yunyun】
ConspiracyTheoryTalk_en,No25/Lv1/1/TEXT,"What's GAF mean, yun?"
ConspiracyTheoryTalk_en,No25/Lv1/2/NAME,【Q-chan】
ConspiracyTheoryTalk_en,No25/Lv1/2/TEXT,"Games, Anime, Figures, and Idols. It's about content industries with global influence."
ConspiracyTheoryTalk_en,No25/Lv2/1/NAME,【Q-chan】
ConspiracyTheoryTalk_en,No25/Lv2/1/TEXT,"Some online video ads really stick with you, don't they? They get stuck in your head."
ConspiracyTheoryTalk_en,No25/Lv2/2/NAME,【Yunyun】
ConspiracyTheoryTalk_en,No25/Lv2/2/TEXT,"Wait! Maybe they're not after computer viruses but meme infection, yun!"
ConspiracyTheoryTalk_en,No25/Lv3/1/NAME,【Q-chan】
ConspiracyTheoryTalk_en,No25/Lv3/1/TEXT,"Like how pink-haired heroines are trouble, or blue-haired ones always lose...?"
ConspiracyTheoryTalk_en,No25/Lv3/2/NAME,【Yunyun】
ConspiracyTheoryTalk_en,No25/Lv3/2/TEXT,"Purple hair definitely means little devil type, yun."
