TableName,Key,Text
ConspiracyTheoryTalk_en,No101/Lv2/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No101/Lv2/1/TEXT,Are artificial earthquakes even a real thing?
ConspiracyTheoryTalk_en,No101/Lv2/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No101/Lv2/2/TEXT,There was a time when I would see the internet joke about nuclear tests being done under university campuses a lot.
ConspiracyTheoryTalk_en,No101/Lv3/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No101/Lv3/1/TEXT,"If the news is true, Q-chan's conspiracy theory just made the world a little bit better!!"
ConspiracyTheoryTalk_en,No101/Lv3/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No101/Lv3/2/TEXT,I hope this means that depressing news stories will stop cutting into the anime block so much.
ConspiracyTheoryTalk_en,No16/Lv1/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No16/Lv1/1/TEXT,"No matter why the scalpers are doing it,
they really should be eliminated."
ConspiracyTheoryTalk_en,No16/Lv1/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No16/Lv1/2/TEXT,"Q-chan, now you're thinking like an Execution Angel!"
ConspiracyTheoryTalk_en,No16/Lv2/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No16/Lv2/1/TEXT,...I can't even count the times I've been forced to suffer for their misdeeds...!!
ConspiracyTheoryTalk_en,No16/Lv2/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No16/Lv2/2/TEXT,Hell hath no fury like an otaku scorned...
ConspiracyTheoryTalk_en,No16/Lv3/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No16/Lv3/1/TEXT,It seems the anti-scalper people are joining with the bad guys just to crush the scalpers.
ConspiracyTheoryTalk_en,No16/Lv3/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No16/Lv3/2/TEXT,"There are definitely people so obsessed they'll do whatever it takes to reach their goals, you know?"
ConspiracyTheoryTalk_en,No25/Lv1/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No25/Lv1/1/TEXT,What is GAFA anyways?
ConspiracyTheoryTalk_en,No25/Lv1/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No25/Lv1/2/TEXT,"Games, Anime, Figures, and Idols. It's a huge media industry with worldwide influence, you know?"
ConspiracyTheoryTalk_en,No25/Lv2/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No25/Lv2/1/TEXT,"Video ads on the net do have a way of getting into your head and staying there, huh?"
ConspiracyTheoryTalk_en,No25/Lv2/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No25/Lv2/2/TEXT,"Hah! Although it may be a virus, maybe its purpose is to spread memes!"
ConspiracyTheoryTalk_en,No25/Lv3/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No25/Lv3/1/TEXT,"...Like thinking the pink heroine is gonna be trouble, or the blue one doesn't have a chance
and stuff...?"
ConspiracyTheoryTalk_en,No25/Lv3/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No25/Lv3/2/TEXT,And the purple one must be a devil!
ConspiracyTheoryTalk_en,No27/Lv1/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No27/Lv1/1/TEXT,...Is it some kind of unlockable achievements system...?
ConspiracyTheoryTalk_en,No27/Lv1/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No27/Lv1/2/TEXT,Feels like trophies in a video game.
ConspiracyTheoryTalk_en,No27/Lv2/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No27/Lv2/1/TEXT,"It's true, civilization has advanced as the population has grown!"
ConspiracyTheoryTalk_en,No27/Lv2/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No27/Lv2/2/TEXT,"Was the chicken first, or the egg? It could also be the advancements that have driven population growth, right?"
ConspiracyTheoryTalk_en,No27/Lv3/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No27/Lv3/1/TEXT,"Apparently, at 10 million times the current population, mankind will get the technology
to spread across the whole galaxy!"
ConspiracyTheoryTalk_en,No27/Lv3/2/NAME,Q-chan
ConspiracyTheoryTalk_en,No27/Lv3/2/TEXT,"Well really, it's not like we could cram everyone
on Earth at that point, right?"
ConspiracyTheoryTalk_en,No28/Lv1/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No28/Lv1/1/TEXT,"That's true. If the needles are made of silver, they'll cause damage to vampires, won't they?"
ConspiracyTheoryTalk_en,No28/Lv1/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No28/Lv1/2/TEXT,Werewolves should be careful not to get caught up in it too!
ConspiracyTheoryTalk_en,No28/Lv2/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No28/Lv2/1/TEXT,"Fantasy, nakige, moé, nekomimi!
Vampire media is always so much fun!"
ConspiracyTheoryTalk_en,No28/Lv2/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No28/Lv2/2/TEXT,I feel like one of those doesn't belong with the others...
ConspiracyTheoryTalk_en,No28/Lv3/1/NAME,Q-chan
ConspiracyTheoryTalk_en,No28/Lv3/1/TEXT,"Ah! If I became a vampire I could actually justify being a hikikomori, AND I'd have time to clear my anime and gaming backlog!"
ConspiracyTheoryTalk_en,No28/Lv3/2/NAME,Yunyun
ConspiracyTheoryTalk_en,No28/Lv3/2/TEXT,"Vampires also have to go outside to suck blood, though."
ConspiracyTheoryTalk_en,No29/Lv1/1/NAME,Yunyun
ConspiracyTheoryTalk_en,No29/Lv1/1/TEXT,"Q-chan, do you remember your first love?"
